真田广之,22336.51;36519.86,2
休·杰克曼,22336.51;659.66;659.66;9431.34;61321.19;5316.6,6
法米克·詹森,22336.51,1
布莱恩·泰,22336.51;111733.85;37018.78,3
李威尹,22336.51;51427.48,2
福岛莉拉,22336.51,1
冈本多绪,22336.51;59078.07,2
斯维特拉纳·库德钦科娃,22336.51,1
卢克·韦伯,22336.51,1
詹姆斯·弗雷泽,22336.51,1
角田信朗,22336.51,1
陈数,49864.21;15547.38,2
迈克尔·佩纳,49864.21;10093.24;7806.18;1926.28;57583.4,5
杰西卡·查斯坦,49864.21;10566.71;55807.11,3
萨姆·斯普卢尔,49864.21;453.16,2
克里斯汀·韦格,49864.21;35046.51;25047.18,3
阿卡塞尔·亨涅,49864.21;8153.92;18980.53,3
麦肯兹·戴维斯,49864.21,1
塞巴斯蒂安·斯坦,49864.21;56222.47;797.4;57583.4,4
肖恩·宾,49864.21;9848.75;27499.38,3
马特·达蒙,49864.21;42705.19;13476.19;4681.75;55807.11,5
唐纳德·格洛沃,49864.21,1
娜奥米·斯科特,49864.21;2315.95,2
布莱恩·卡斯佩,49864.21,1
切瓦特·埃加福特,49864.21,1
凯特·玛拉,49864.21;12063.38,2
杰夫·丹尼尔斯,49864.21;11824.55,2
克里斯托弗·沃肯,659.66;659.66;10100.85;71545.56,4
塔伦·埃格顿,659.66;659.66;41999.6,3
杰西卡·威廉姆斯,659.66;659.66;78093.51,3
乔·哈特利,659.66;659.66,2
麦德斯·斯加德·彼..,659.66;659.66,2
蒂姆·麦克纳尼,659.66;659.66;2074.18,3
拉斯科·阿特金斯,659.66;659.66;60404.29;813.98;42705.19;28532.78;34828.33,7
托尼·保罗·韦斯特,659.66;659.66,2
托马斯·雷玛奎斯,69994.74;6849.35,2
斯坦·李,69994.74;47170.25;131747.2;31185.45;56222.47;57583.4;63121.8,7
柯蒂·斯密特-麦菲,69994.74;58243.15,2
卢卡斯·提尔,69994.74;61321.19,2
伊万·彼得斯,69994.74;61321.19,2
奥斯卡·伊萨克,69994.74;856.03;71290.65,3
尼古拉斯·霍尔特,69994.74;5099.26;61321.19,3
奥立薇娅·玛恩,69994.74;2255.32,2
詹姆斯·麦卡沃伊,69994.74;738.13;61321.19;14972.14,4
迈克尔·法斯宾德,69994.74;61321.19,2
詹妮弗·劳伦斯,69994.74;61321.19;22359.05;14155.14;1926.28;15806.81,6
索菲·特纳,69994.74,1
泰尔·谢里丹,69994.74,1
亚历山德拉·西普,69994.74,1
萝丝·拜恩,69994.74;331.03,2
本·哈迪,69994.74,1
拉娜·孔多尔,69994.74,1
乔什·赫尔曼,69994.74,1
乔·科布登,69994.74,1
派翠西娅·克拉克森,19235.33;331.03;13922.91,3
卡雅·斯考达里奥,19235.33;13922.91,2
大卫·豪斯,19235.33,1
吉安卡洛·埃斯珀西多,19235.33;71545.56,2
弗兰克·鲍尔斯,19235.33,1
詹姆斯·伯内特,19235.33;12063.38,2
莉莉·泰勒,19235.33,1
凯斯·贾迪恩,19235.33,1
娜塔莉·艾玛努埃尔,19235.33;195358.45,2
雅克布·洛弗兰德,19235.33,1
迪伦·奥布莱恩,19235.33;13922.91,2
艾丹·吉伦,19235.33,1
托马斯·桑斯特,19235.33;13922.91,2
巴里·佩珀,19235.33;7888.77,2
李基弘,19235.33;13922.91,2
泰瑞·帕克斯,19235.33;68193.49,2
杨颖,48450.97;16959.26;10022.88;33481.78;25136.87;17265.94;28295.43;51835.33;27316.9;136843.87;40794.54;2247.52;1333.82;3251.18,14
乔伊·金,48450.97;16383.58;14614.71,3
利亚姆·海姆斯沃斯,48450.97;22359.05;14155.14;15806.81,4
麦卡·梦露,48450.97,1
杰西·厄舍,48450.97,1
杰夫·高布伦,48450.97;31308.43;2255.32,3
夏洛特·甘斯布,48450.97,1
比尔·普尔曼,48450.97;1982.08,2
薇薇卡·福克斯,48450.97,1
布伦特·斯皮内,48450.97,1
詹姆斯·伍兹,48450.97;16383.58;1209.88,3
尼古拉斯·怀特,48450.97;16383.58,2
海思·威尔福德,48450.97,1
瑞安·卡怀特,48450.97,1
贾德·赫希,48450.97,1
特拉维斯·托普,48450.97,1
加内特·瓦瑞格,48450.97,1
威廉·菲德内尔,48450.97;7888.77;13476.19;37018.78;35702.84,5
雪拉·渥德,48450.97,1
道比·欧帕瑞,48450.97;2953.88,2
袁隆,48450.97,1
黄经汉,48450.97;241.19;56222.47,3
特拉维斯·汉默,48450.97;7888.77,2
弗伯·戴瓦尔,48450.97;16383.58,2
约翰尼·奥托,48450.97;1264.88;35365.42;9905.05,4
贾斯汀·朗,5992.35,1
贝拉·索恩,5992.35,1
杰森·李,5992.35,1
托尼·海尔,5992.35;1982.08,2
金柏莱·威廉姆斯,5992.35,1
约翰·阿彻尔·朗格伦,5992.35,1
杰西·麦卡尼,5992.35,1
安娜·法瑞丝,5992.35,1
克里斯蒂娜·艾伯盖特,5992.35,1
卡蕾·库科,5992.35,1
克里斯多夫·蒂斯丹..,5992.35;59078.07,2
凯文·韦恩,5992.35,1
张国立,76299.17;2590.46,2
姜武,76299.17;156536.11;43.64;27316.9;1541.2;27971.77;887.67,7
黄磊,76299.17;12358.88;631.55;27829.32;8646.49;22169.31;7396.18;3819.31,8
王志文,76299.17;68422.61;48497.36;4547.17,4
白百何,76299.17;156536.11;13334.85;35046.51;6213.41;45789.54;61386.83;8179.54;5356.95;8110.08;17617.84,11
王太利,76299.17;681.38;6765.48;11109.45;19701.61,5
朱珠,76299.17;425.8;5417.22;14972.14;3611.44,5
肖央,76299.17;6765.48;19701.61;66554.2;68051.6,5
成龙,76299.17;80646.4;61386.83;67775.03;45720.22,5
周杰伦,76299.17;60404.29;11501.93,3
安吉丽娜·朱莉,76299.17;25641.3,2
布莱恩·科兰斯顿,76299.17;47519.74,2
刘玉玲,76299.17,1
郭子睿,76299.17;71545.56;64351.73;11109.45;3424.78,5
张纪中,76299.17,1
杰克·布莱克,76299.17,1
吴汉章,76299.17,1
达斯汀·霍夫曼,76299.17,1
塞斯·罗根,76299.17,1
凯特·哈德森,76299.17;453.16,2
黄忆慈,76299.17;22169.31;3819.31,3
大卫·克罗斯,76299.17,1
j·k·西蒙斯,76299.17;1209.88;87872.52;3917.8;68193.49,5
杨幂,76299.17,1
鲍勃·佩克,31308.43,1
山姆·尼尔,31308.43,1
塞缪尔·杰克逊,31308.43;28532.78;131747.2;7806.18;56222.47;41999.6;1611.7;29085.89,8
劳拉·邓恩,31308.43;111733.85,2
b.d.·王,31308.43,1
理查德·阿滕伯勒,31308.43,1
格温妮丝·帕特洛,2255.32;63121.8,2
约翰·奥布赖恩,2255.32;47519.74,2
迈克尔·库尔金,2255.32,1
约翰尼·德普,2255.32;12063.38;7888.77;34828.33,4
伊万·麦克格雷格,2255.32;5099.26,2
保罗·贝坦尼,2255.32;12063.38;131747.2;63121.8,4
罗尼·罗德里格斯,2255.32;7888.77,2
约翰·沃曼,2255.32,1
盖·布耐特,2255.32,1
乌尔里奇·汤姆森,2255.32,1
